pricing_scenario,version,pricing_scenario_name,date,variable,EU,China,Others,India,Turkey,South Korea,United States,United Kingdom
default,v2,USD60/bbl (actual),2023-12-04,value_tonne,161778.3706883265,591656.9295581536,311881.5317040464,312473.46771428577,258332.18044239632,71904.45392357143,0.0,0.0
default,v2,USD60/bbl (actual),2023-12-05,value_tonne,171836.74464444627,590141.2606782966,320886.3650072357,304521.5384285715,250860.72091013825,71095.04906642858,0.0,0.0
default,v2,USD60/bbl (actual),2023-12-06,value_tonne,176846.21438155245,598728.4927109394,293890.1460035929,314140.8541428572,247895.5505921659,67472.9062092857,0.0,0.0
default,v2,USD60/bbl (actual),2023-12-07,value_tonne,177119.78498338646,599515.972188225,310659.155103315,291552.14078571426,246884.6273456221,62281.54578071429,0.0,0.0
default,v2,USD60/bbl (actual),2023-12-08,value_tonne,173431.6498887812,608520.382038725,320794.6442525465,291009.9793571429,246705.73717050694,70312.52970928572,0.0,0.0
default,v2,USD60/bbl (actual),2023-12-09,value_tonne,183296.4178503817,601074.6805874391,302240.0956001593,299220.95264285716,264080.4777096774,72043.48910214285,0.0,0.0
default,v2,USD60/bbl (actual),2023-12-10,value_tonne,187174.68823123787,574262.5714218677,321631.1137930557,293231.84314285713,281930.0533202765,71779.91767357143,0.0,0.0
default,v2,USD60/bbl (actual),2023-12-11,value_tonne,189854.09076408474,583193.8816853677,311731.2990467693,309192.1845714286,292024.80085944704,72402.846245,0.0,0.0
default,v2,USD60/bbl (actual),2023-12-12,value_tonne,195530.22130813517,616341.5659483677,324998.6431009114,278508.25692857144,275642.3482557604,73984.56053071428,0.0,0.0
default,v2,USD60/bbl (actual),2023-12-13,value_tonne,193668.39322602705,628894.5069256534,321333.7809854328,301393.06278571434,266862.2318663595,80466.11341857142,0.0,0.0
default,v2,USD60/bbl (actual),2023-12-14,value_tonne,197355.0192880182,614109.572402939,333379.8253663607,307425.5314285714,273731.85497695854,78579.25627571427,0.0,0.0
default,v2,USD60/bbl (actual),2023-12-15,value_tonne,192175.03880697678,601626.5604743676,346573.2405376121,303455.98914285714,267618.1101198157,64887.89913285714,0.0,0.0
default,v2,USD60/bbl (actual),2023-12-16,value_tonne,195798.07652471538,571923.2408315104,335030.4752278814,295922.5830714286,283273.7706912442,59593.54199,0.0,0.0
default,v2,USD60/bbl (actual),2023-12-17,value_tonne,190783.71210467393,588119.8230457961,342337.40378714714,314992.2993571428,271717.97083410143,52052.13195928571,0.0,0.0
default,v2,USD60/bbl (actual),2023-12-18,value_tonne,195741.43936952748,580000.3056172247,343074.5077062664,300550.8705,269723.0485483871,55710.97845928571,0.0,0.0
default,v2,USD60/bbl (actual),2023-12-19,value_tonne,179231.57883998964,557024.2758315104,346046.79961451713,335661.89471428574,274214.23004838714,55366.31188785715,0.0,0.0
default,v2,USD60/bbl (actual),2023-12-20,value_tonne,180743.65167563895,539984.3905618676,362943.02366288425,305985.6872142857,265532.8765483871,58478.09760214286,0.0,0.0
default,v2,USD60/bbl (actual),2023-12-21,value_tonne,186539.41871963252,549977.556990439,358763.42216208717,317396.0145,274317.0913341014,56942.16903071429,0.0,0.0
default,v2,USD60/bbl (actual),2023-12-22,value_tonne,188634.0325655268,540103.8062761532,337030.2033135107,298744.99828571425,275599.6104769585,50900.780244999994,0.0,0.0
default,v2,USD60/bbl (actual),2023-12-23,value_tonne,182065.7880134704,552531.5920618676,346525.6856551335,319810.4250714286,266278.56640553,41993.494530714284,0.0,0.0
default,v2,USD60/bbl (actual),2023-12-24,value_tonne,181617.23433538107,583722.6063475818,341085.52731261787,309652.8657142857,255812.86090552996,54331.280244999994,0.0,0.0
default,v2,USD60/bbl (actual),2023-12-25,value_tonne,180191.11614214964,582564.9982042246,340007.61408535996,284023.55557142856,276124.34369124426,55116.118847142854,0.0,0.0
default,v2,USD60/bbl (actual),2023-12-26,value_tonne,184636.7898700318,575208.2942042247,312446.9342453629,287026.3394285714,258111.5044769585,52115.208132857144,0.0,0.0
default,v2,USD60/bbl (actual),2023-12-27,value_tonne,183085.3661352911,587524.8107042246,302993.2185954857,262299.4557142857,247388.6165483871,49778.869530714284,0.0,0.0
default,v2,USD60/bbl (actual),2023-12-28,value_tonne,179657.8460043461,573465.3585613675,287689.12991564715,276952.0367142857,222693.05940552993,51277.155244999994,0.0,0.0
default,v2,USD60/bbl (actual),2023-12-29,value_tonne,173910.21361834038,583483.5887042247,271028.1415847472,245045.72821428571,217584.3072626728,56706.155244999994,0.0,0.0
default,v2,USD60/bbl (actual),2023-12-30,value_tonne,176624.18559362108,601920.9652756533,283223.1918710036,261433.21285714285,217357.93754838713,56706.155244999994,0.0,0.0
default,v2,USD60/bbl (actual),2023-12-31,value_tonne,184451.77526346393,574343.3557756532,274926.56244847144,233127.5182857143,221185.35897695855,54929.155244999994,0.0,0.0
default,v2,USD60/bbl (actual),2024-01-01,value_tonne,183809.8152970602,575712.3622746359,276238.5674216864,257983.4417142857,211450.2146543779,48492.79445928572,0.0,0.0
default,v2,USD60/bbl (actual),2024-01-02,value_tonne,195503.12998037928,605043.1437021901,288300.45307986496,228945.70971428574,221074.5794032258,52407.43731642857,0.0,0.0
default,v2,USD60/bbl (actual),2024-01-03,value_tonne,189596.85588441836,638895.4994668873,261249.70241804357,237360.81771428572,222138.62829493088,49396.49510214286,0.0,0.0
default,v2,USD60/bbl (actual),2024-01-04,value_tonne,188622.73777194534,626662.700088727,252711.74762006217,241849.3295,231299.08690092168,54316.11941857143,0.0,0.0
default,v2,USD60/bbl (actual),2024-01-05,value_tonne,191247.8209733023,614583.5182819956,274847.18596918567,252296.78342857145,224208.58979262674,57507.66713285715,0.0,0.0
default,v2,USD60/bbl (actual),2024-01-06,value_tonne,185958.61329855566,609418.8069752641,298198.1243766643,259790.31142857144,233710.4507557604,62783.52427571429,0.0,0.0
default,v2,USD60/bbl (actual),2024-01-07,value_tonne,176949.33508297123,593021.0118828182,286331.43423348357,281357.7205,221374.77843317974,50445.738561428574,0.0,0.0
default,v2,USD60/bbl (actual),2024-01-08,value_tonne,180818.29028747106,585482.9830760867,301987.0355911828,290804.92750000005,213654.35146774194,43595.75710214286,0.0,0.0
default,v2,USD60/bbl (actual),2024-01-09,value_tonne,170322.372722568,544945.0477693552,305951.6103892679,307486.5664285715,215359.27557373277,41506.95353071429,0.0,0.0
default,v2,USD60/bbl (actual),2024-01-10,value_tonne,173186.3308139078,527559.6529309808,333411.5488600428,329757.97228571435,225980.48082258066,39972.02495928572,0.0,0.0
default,v2,USD60/bbl (actual),2024-01-11,value_tonne,170851.3580075819,558461.9439813922,346957.39148367214,321004.1167857143,242754.04950000005,37890.739245000004,0.0,0.0
default,v2,USD60/bbl (actual),2024-01-12,value_tonne,168967.29615653885,551375.4860318034,343471.57002966286,339621.4692857143,244578.87203456226,32461.739245000004,0.0,0.0
default,v2,USD60/bbl (actual),2024-01-13,value_tonne,160196.65095962724,546142.7011536433,337009.9635096585,328059.18685714283,244533.28964055303,35782.49538785715,0.0,0.0
default,v2,USD60/bbl (actual),2024-01-14,value_tonne,161376.9355428435,554113.8467754832,348207.0753357771,326483.6867142857,253360.95474654384,48873.18706142857,0.0,0.0
default,v2,USD60/bbl (actual),2024-01-15,value_tonne,165233.52376782778,562778.2131126261,345847.3341934436,328873.141,251479.47403225812,53993.70356142858,0.0,0.0
default,v2,USD60/bbl (actual),2024-01-16,value_tonne,158698.65859174138,558491.0375211976,324197.32507759996,341663.0218571429,247495.12988940094,58747.47470428572,0.0,0.0
default,v2,USD60/bbl (actual),2024-01-17,value_tonne,163714.8251601664,536045.2565211976,332748.4719218879,334416.94771428575,262933.34824654384,60610.33299000001,0.0,0.0
default,v2,USD60/bbl (actual),2024-01-18,value_tonne,166517.21092154848,539677.8912354832,336926.22980916355,319294.39085714286,247789.52381797237,55690.70867357143,0.0,0.0
default,v2,USD60/bbl (actual),2024-01-19,value_tonne,166573.1364377178,530342.4530411976,327835.9031136857,327810.2431428572,254761.54396082956,51014.42295928572,0.0,0.0
default,v2,USD60/bbl (actual),2024-01-20,value_tonne,174813.82575027135,535314.334969769,322227.3310059957,300058.96892857144,251514.04046082954,49335.42295928572,0.0,0.0
default,v2,USD60/bbl (actual),2024-01-21,value_tonne,175184.3245213171,531696.4603983404,325176.6030838157,295979.5525,252547.52288940098,52276.28010214287,0.0,0.0
default,v2,USD60/bbl (actual),2024-01-22,value_tonne,170445.03508449634,525539.7481126261,323015.933699255,303872.7014285714,238395.45746082955,58948.70867357143,0.0,0.0
default,v2,USD60/bbl (actual),2024-01-23,value_tonne,170768.5756465071,535483.9266840548,312175.2740214536,277072.7642857143,238834.15017511524,58948.70867357143,0.0,0.0
default,v2,USD60/bbl (actual),2024-01-24,value_tonne,178817.99113581635,543567.4147156976,304094.8489931507,252676.6377857143,239388.66781797237,54512.42295928572,0.0,0.0
default,v2,USD60/bbl (actual),2024-01-25,value_tonne,178883.11992249565,533332.6529299833,290172.6803615943,251687.1413571429,229349.08417511525,58612.972245000004,0.0,0.0
default,v2,USD60/bbl (actual),2024-01-26,value_tonne,180500.59703317424,540650.6661442689,308633.19199165504,245617.25492857143,225353.7751036867,68504.66799,0.0,0.0
default,v2,USD60/bbl (actual),2024-01-27,value_tonne,189028.72086730134,550201.0000014119,325662.97293201287,232583.27135714286,211418.52188940096,70063.69756142858,0.0,0.0
default,v2,USD60/bbl (actual),2024-01-28,value_tonne,178902.2197931756,536109.9285728404,317424.4105894686,226938.05707142857,208528.08488940095,55882.43445928571,0.0,0.0
default,v2,USD60/bbl (actual),2024-01-29,value_tonne,175341.96793755065,493380.91571569757,308798.92530618503,249445.8055,215376.13674654384,54120.07510214286,0.0,0.0
default,v2,USD60/bbl (actual),2024-01-30,value_tonne,174987.2593347992,473162.199144269,303958.94546201144,261517.9217142857,212892.2243179724,56368.820066428576,0.0,0.0
default,v2,USD60/bbl (actual),2024-01-31,value_tonne,177463.9933537099,454315.79757284047,300724.73917533143,249251.6575714286,197636.15688940094,55143.76113785715,0.0,0.0
default,v2,USD60/bbl (actual),2024-02-01,value_tonne,174750.37033528328,469052.19217424083,301791.56764251785,267021.867,212343.84505458453,57676.689709285725,0.0,0.0
default,v2,USD60/bbl (actual),2024-02-02,value_tonne,166283.08340278946,486077.0204184983,317718.46119908214,271953.70371428574,210222.86900548232,57516.49913785715,0.0,0.0
default,v2,USD60/bbl (actual),2024-02-03,value_tonne,159707.4456369478,465414.4121627558,298142.3630469179,274398.21571428573,197490.15345638015,53919.641995000005,0.0,0.0
default,v2,USD60/bbl (actual),2024-02-04,value_tonne,156361.51077275115,465467.41397844197,297144.5717315643,274324.12700000004,205653.73519299226,56940.976811428576,0.0,0.0
default,v2,USD60/bbl (actual),2024-02-05,value_tonne,167617.54818810377,465686.6796512708,306377.3422529228,271361.89228571433,201563.4182867472,54818.04824,0.0,0.0
default,v2,USD60/bbl (actual),2024-02-06,value_tonne,172416.52447963422,476426.80210981413,311037.82141233503,306673.01892857143,204558.6705947879,65085.262240000004,0.0,0.0
default,v2,USD60/bbl (actual),2024-02-07,value_tonne,165380.5900142383,481360.4003540716,275861.0217205593,309164.4031428572,208695.48640282857,66908.79038285714,0.0,0.0
default,v2,USD60/bbl (actual),2024-02-08,value_tonne,168018.2120814702,480180.88852690056,308026.5498563564,314052.63242857147,208465.0969965835,64380.09824000001,0.0,0.0
default,v2,USD60/bbl (actual),2024-02-09,value_tonne,169489.36902941138,466282.686628301,285637.7613188357,335211.3650714286,215855.02594748136,59961.331066428575,0.0,0.0
default,v2,USD60/bbl (actual),2024-02-10,value_tonne,167212.153350339,448597.50744398695,275381.2364408943,342365.4366428572,227477.47604123634,55081.545352142864,0.0,0.0
default,v2,USD60/bbl (actual),2024-02-11,value_tonne,166952.43703605095,475520.51885831595,286918.3826249514,370271.92857142864,225064.53992070557,55081.545352142864,0.0,0.0
default,v2,USD60/bbl (actual),2024-02-12,value_tonne,161911.80813904066,506186.13203907345,316090.4351393058,359753.12485714286,218699.39730017484,54062.61678071429,0.0,0.0
default,v2,USD60/bbl (actual),2024-02-13,value_tonne,162006.1136990926,519253.28571190237,323736.4011633479,345216.5732142857,212517.29803678693,48822.314959285715,0.0,0.0
default,v2,USD60/bbl (actual),2024-02-14,value_tonne,164138.83160395664,545558.9798847314,319155.2004477271,352208.21464285714,223077.8184162562,52892.100673571425,0.0,0.0
default,v2,USD60/bbl (actual),2024-02-15,value_tonne,163990.16912518878,554668.3298847313,298243.42521166074,334438.00521428575,213310.60798768472,53960.132673571425,0.0,0.0
